Name,Quantity,Set (Optional),Notes (Optional)
MirrorMorph: Endless Iteration,1,Downfall 31,Regular
Architect Deployment Test,3,Downfall 32,Regular
Calvin B4L3Y,3,Downfall 33,Regular
Nanoetching Matrix,3,Downfall 34,Regular
Hagen,3,Downfall 35,Regular
Fully Operational,3,Downfall 36,Regular
Red Level Clearance,3,Downfall 37,Regular
Cold Site Server,3,Downfall 38,Regular
Hyoubu Institute: Absolute Clarity,1,Downfall 39,Regular
Project Yagi-Uda,3,Downfall 40,Regular
Sting!,3,Downfall 41,Regular
Public Health Portal,3,Downfall 42,Regular
Storgotic Resonator,3,Downfall 43,Regular
Saisentan,3,Downfall 44,Regular
Complete Image,3,Downfall 45,Regular
Letheia Nisei,3,Downfall 46,Regular
Remastered Edition,3,Downfall 47,Regular
Daily Quest,3,Downfall 48,Regular
Tiered Subscription,3,Downfall 49,Regular
Congratulations!,3,Downfall 50,Regular
Loot Box,3,Downfall 51,Regular
Focus Group,3,Downfall 52,Regular
Game Over,3,Downfall 53,Regular
Increased Drop Rates,3,Downfall 54,Regular
Divested Trust,3,Downfall 55,Regular
SDS Drone Deployment,3,Downfall 56,Regular
Roughneck Repair Squad,3,Downfall 57,Regular
Afshar,3,Downfall 58,Regular
Sandstone,3,Downfall 59,Regular
Trebuchet,3,Downfall 60,Regular
Secure and Protect,3,Downfall 61,Regular
Reduced Service,3,Downfall 62,Regular
Vulnerability Audit,3,Downfall 63,Regular
CSR Campaign,3,Downfall 64,Regular
Rime,3,Downfall 65,Regular
Project Vacheron,3,Uprising 97,Regular
Bass CH1R180G4,3,Uprising 98,Regular
Cerebral Overwriter,3,Uprising 99,Regular
Vaporframe Fabricator,3,Uprising 100,Regular
Drafter,3,Uprising 101,Regular
Týr,3,Uprising 102,Regular
NEXT Activation Command,3,Uprising 103,Regular
Scapenet,3,Uprising 104,Regular
Tranquility Home Grid,3,Uprising 105,Regular
Flower Sermon,3,Uprising 106,Regular
Prāna Condenser,3,Uprising 107,Regular
Engram Flush,3,Uprising 108,Regular
Konjin,3,Uprising 109,Regular
Hyoubu Precog Manifold,3,Uprising 110,Regular
Kakurenbo,3,Uprising 111,Regular
GameNET: Where Dreams are Real,1,Uprising 113,Regular
Bellona,3,Uprising 114,Regular
F2P,3,Uprising 115,Regular
Gold Farmer,3,Uprising 116,Regular
SYNC Rerouting,3,Uprising 118,Regular
Ganked!,3,Uprising 119,Regular
